,title,year,duration,description,genre,country
0,Побег из Шоушенка,1994,2h 22m,"Банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.",Драма,United States
1,Крестный отец,1972,2h 55m,Старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,"Преступление, драма",United States
2,Тёмный рыцарь,2008,2h 32m,"Когда угроза, известная как Джокер, наносит ущерб и хаос народах Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.","Действие, преступность, драма",United States
3,Крестный отец 2,1974,3h 22m,"Ранняя жизнь и карьера Вито Корлеоне в 1920 -х годах изображаются, в то время как его сын Майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.","Преступление, драма",United States
4,12 разгневанных мужчин,1957,1h 36m,"Присяжные в суде по делу об убийстве в Нью -Йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.","Преступление, драма",United States
5,Властелин колец: Возвращение короля,2003,3h 21m,"Гандальф и Арагорн ведут мир людей против армии Саурона, чтобы привлечь свой взгляд от Фродо и Сэма, когда они приближаются к Маунт -Дум с одним кольцом.","Приключения, драма, фантазия",New Zealand
6,Список Шиндлера,1993,3h 15m,"В оккупированной немецкой Поль году во время Второй мировой войны промышленный Оскар Шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.","Биография, драма, история",United States
7,Криминальное чтиво,1994,2h 34m,"Жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.","Преступление, драма",United States
8,Властелин колец: Братство кольца,2001,2h 58m,"Крутый хоббит из Шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти Средиземье от Темного лорда Саурона.","Приключения, драма, фантазия",New Zealand
9,"Хороший, плохой, злой",1966,2h 41m,"Мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.","Приключение, западный",Italy
10,Форрест Гамп,1994,2h 22m,"История Соединенных Штатов с 1950 -х годов до 70 -х годов разворачивается с точки зрения мужчины из Алабамы с IQ из 75 лет, который жаждет воссоединиться со своей детской возлюбленной.","Драма, роман",United States
11,Властелин колец: Две крепости,2002,2h 59m,"В то время как Фродо и Сэм Эдж ближе к Мордору с помощью Shifty Gollum, разделенное общение выступает против нового союзника Саурона, Сарумана и его полщиков Исигарда.","Приключения, драма, фантазия",New Zealand
12,Бойцовский клуб,1999,2h 19m,"Офисный работник бессонницы и производитель мыльной помощи дьяволам образуют подземный бой-клуб, который превращается в гораздо больше.","Преступление, драма, триллер",Germany
13,Начало,2010,2h 28m,"Вор, который крадет корпоративные секреты благодаря использованию технологии обмена мечтами, дает обратную задачу посадки идеи в сознание C.E.O., но его трагическое прошлое может обречь проект и его команду в катастрофу.","Действие, приключение, научная фантастика",United States
14,Звёздные войны: Эпизод 5 - Империя наносит ответный удар,1980,2h 4m,"После того, как Империя одолевает альянс повстанцев, Люк Скайуокер начинает тренироваться с мастером Джедай Йода, в то время как Дарт Вейдер и охотник за головами Боба Фетт преследуют своих друзей через галактику.","Действие, приключение, фантазия",United States
15,Матрица,1999,2h 16m,"Когда прекрасный незнакомец приводит компьютерного хакера Нео к запрещенному подземному миру, он обнаруживает шокирующую правду-жизнь, которую он знает,-это сложный обман злой кибер-интеллекты.","Действие, научная фантастика",United States
16,Славные парни,1990,2h 25m,"История Генри Хилла и его жизни в мафии, освещая его отношения с его женой Карен и его партнерами по толпике Джимми Конвея и Томми Девито.","Биография, преступность, драма",United States
17,Пролетая над гнездом кукушки,1975,2h 13m,Недавно принятый психиатрический пациент помогает своим послушным компаньонам бросить тираническую медсестру.,Драма,United States
18,Интерстеллар,2014,2h 49m,"Когда в будущем Земля станет необитаемой, фермеру и бывшему пилоту на NASA Джозеф Купер поручено пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.","Приключение, драма, научная фантастика",United States
19,Семь,1995,2h 7m,"Два детектива, новичок и ветеран, охотятся на серийного убийцы, который использует семь смертельных грехов в качестве своих мотивов.","Преступление, драма, тайна",United States
20,Эта замечательная жизнь,1946,2h 10m,"Ангела посылают с небес, чтобы помочь отчаянно разочарованному бизнесмену, показав ему, какая жизнь была бы, если бы он никогда не существовал.","Драма, семья, фантазия",United States
21,Семь самураев,1954,3h 27m,"Фермеры из деревни, эксплуатируемой бандитами, нанимают ветеран -самурай для защиты, и он собирает шесть других самураев, чтобы присоединиться к нему.","Действие, драма",Japan
22,Молчание ягнят,1991,1h 58m,"Молодой Ф.Б.И. Ка курсант должен получить помощь в заключении и манипулятивном убийце каннибала, чтобы помочь поймать другого серийного убийцы, сумасшедшего, который скорее пострадает.","Преступление, драма, ужас",United States
23,Спасти рядового Райана,1998,2h 49m,"После посадки в Нормандии группа солдат США идет за вражеской линии, чтобы забрать десантник, чьи братья были убиты в бою.","Драма, война",United States
24,Город Бога,2002,2h 10m,"В трущобах Рио два детских путях расходятся, когда один из них пытается стать фотографом, а другой - королем.","Преступление, драма",Brazil
25,Зелёная миля,1999,3h 9m,"Смертельный охранник узнает, что нежный гигант в его атаке обладает таинственным подарком.","Преступление, драма, фантазия",United States
